MBS,Ime,OIB,DJELATNOST_SIFRA,DJELATNOST_NAZIV,ZUPANIJA,ADRESA,NASELJE,EMAIL_ADRESE,TELEFONSKI_BROJEVI,GFI_COUNT,STATUS,NAZNAKA_IMENA,PRAVNI_OBLIK,OSTALO
10062345,"ZIDAR SELCE društvo s ograničenom odgovornošću za graditeljstvo, promet nekretnina i usluge",66284957230,,,Primorsko-goranska županija,Rade Končara 89,Selce,franjoburulic48@gmail.com,,,17,1,ZIDAR SELCE,d.o.o.
10065653,HALUPA d.o.o. za graditeljstvo i usluge,44363562434,,,Bjelovarsko-bilogorska županija,Daruvarski Brestovac 88,Daruvarski Brestovac,halupa.d.o.o.@gmail.com,,,17,1,HALUPA,d.o.o.
10070722,"GRAĐEVINSKO PROIZVODNA ZADRUGA KOLAR za graditeljstvo, proizvodnju i usluge",99475468964,,,Istarska županija,Manjadvorci 54,Manjadvorci,kolar.alen@gmail.com,,,0,1,GRAĐEVINSKO PROIZVODNA ZADRUGA KOLAR,z.
10073389,"FILIGRAN d.o.o. za graditeljstvo, trgovinu i usluge",38283139047,,,Bjelovarsko-bilogorska županija,Ulica kralja Tomislava 22,Đulovac,filigran.doo@mail.inet.hr,,,13,1,FILIGRAN,d.o.o.
10073846,ISKOPI FUČEK ZADRUGA za graditeljstvo i usluge,8652559985,,,Koprivničko-križevačka županija,Ulica stari drum 7,Ferdinandovac,iskopi.fucekzadruga@gmail.com,,,0,1,ISKOPI FUČEK ZADRUGA,z.
10078278,MATINA d.o.o. za graditeljstvo i usluge,39860691443,,,Bjelovarsko-bilogorska županija,Daruvarski Brestovac 96,Daruvarski Brestovac,drazen.matina@gmail.com,,,15,1,MATINA,d.o.o.
10079125,"NOVI INTERIJERI d.o.o. za graditeljstvo, trgovinu i usluge",90492621757,,,Bjelovarsko-bilogorska županija,Svibanjska ulica 18,Vrbovac,novi.interijeri@gmail.com,,,14,1,"NOVI INTERIJERI D.O.O. ZA GRADITELJSTVO, TRGOVINU I USLUGE",d.o.o.
10085147,"BATINJANI BETON d.o.o. za graditeljstvo, proizvodnju i usluge",2913537985,,,Bjelovarsko-bilogorska županija,Ivana Gundulića 68,Daruvar,batinjani7777@gmail.com,,,12,1,BATINJANI BETON,d.o.o.
10092988,MKG jednostavno društvo s ograničenom odgovornošću za graditeljstvo,48977686318,,,Bjelovarsko-bilogorska županija,Ulica 29. rujan 49,Predavac,mkg.bjelovar@gmail.com,,,10,1,MKG,j.d.o.o.
10096032,ŠLJIVO jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,40147535274,,,Bjelovarsko-bilogorska županija,Dežanovac 71,Dežanovac,ivanilinovic1@gmail.com,,,10,1,ŠLJIVO,j.d.o.o.
10096952,ŠILAR društvo s ograničenom odgovornošću za graditeljstvo i usluge,19949672107,,,Bjelovarsko-bilogorska županija,Veliki Bastaji 101,Veliki Bastaji,ured@silar.hr,,,9,1,ŠILAR,d.o.o.
10100196,GRADITELJSTVO JURIŠIĆ društvo s ograničenom odgovornošću za graditeljstvo i usluge,55768780645,,,Bjelovarsko-bilogorska županija,Vaclava Boka 1,Sokolovac,graditeljstvo.jurisic82@gmail.com,,,8,1,GRADITELJSTVO JURIŠIĆ,d.o.o.
10101214,"GRADNJA VIGRA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",98218710717,,,Virovitičko-podravska županija,Matije Gupca 14,Dugo Selo Lukačko,dado.dejac@gmail.com,,,8,1,GRADNJA VIGRA,d.o.o.
10106138,MP KERAMIKA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,70370264923,,,Bjelovarsko-bilogorska županija,Batinjani 105,Batinjani,mateo.pejcin321@gmail.com,,,7,1,MP KERAMIKA JEDNOSTAVNO DRUŠTVO S OGRANIČENOM ODGOVORNOŠĆU ZA GRADITELJSTVO I USLUGE,j.d.o.o.
10111696,"FUSIĆ GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",31481162587,,,Virovitičko-podravska županija,Otrovanec 126,Otrovanec,kristinalovrencec@yahoo.com,,,6,1,FUSIĆ GRADNJA,j.d.o.o.
10114797,"BERISHA GRADNJA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",38233076401,,,Koprivničko-križevačka županija,Trg bana Josipa Jelačića 8,Koprivnica,berisha@hoffmann-haus.de,,,6,1,"BERISHA GRADNJA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",d.o.o.
10116569,"ZEC GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo, proizvodnju, trgovinu i usluge",15229604477,,,Bjelovarsko-bilogorska županija,Hrvatskih branitelja 85,Doljani,mladenzec227@gmail.com,,,5,1,ZEC GRADNJA,j.d.o.o.
10117019,"GRAĐEVINSKI RADOVI ZAGI društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",31110727968,,,Bjelovarsko-bilogorska županija,Braće Radića 32,Sokolovac,snjezanazagorec3@gmail.com,,,5,1,GRAĐEVINSKI RADOVI ZAGI,d.o.o.
10118520,KT INVEST GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,36137821805,,,Bjelovarsko-bilogorska županija,Barutanska 15,Bjelovar,ktinvestgradnja@gmail.com,,,5,1,KT INVEST GRADNJA,j.d.o.o.
10120189,DBT USLUGE jednostavno društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,15628745720,,,Bjelovarsko-bilogorska županija,Ul. Stjepana Radića 40,Predavac,dbt.usluge@gmail.com,,,5,1,DBT USLUGE,j.d.o.o.
10121052,"NIKSI jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",31416923540,,,Koprivničko-križevačka županija,Drenovica 66,Novo Virje,nstefinec@gmail.com,,,4,1,NIKSI,j.d.o.o.
10121583,NEBA TERM društvo s ograničenom odgovornošću za graditeljstvo i usluge,71707423202,,,Bjelovarsko-bilogorska županija,Blagoja Berse - prilaz III 14,Bjelovar,jukic.oliver@gmail.com,,,4,1,NEBA TERM,d.o.o.
10122447,"NFM Bau društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",27705053654,,,Bjelovarsko-bilogorska županija,Kolarevo Selo 2,Kolarevo Selo,niko-afm@hotmail.com,,,4,1,NFM Bau,d.o.o.
10126177,PS INTERIJERI jednostavno društvo s ograničenom odgovornošću za graditeljstvo,66354039269,,,Bjelovarsko-bilogorska županija,Prgomelje 81,Prgomelje,slobodanpopovic1984@gmail.com,,,4,1,PS INTERIJERI,j.d.o.o.
10126273,"Lovreković društvo s ograničenom odgovornošću za graditeljstvo, konzalting i usluge",3164722186,,,Virovitičko-podravska županija,Ulica Antuna Mihanovića 9,Virovitica,info@lovrekovic.hr,,,6,1,Lovreković,d.o.o.
10127362,"DALIT GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",4461040123,,,Koprivničko-križevačka županija,Ulica bana Josipa Jelačića 218,Legrad,horvat.danijel.4@hotmail.com,,,3,1,"DALIT GRADNJA JEDNOSTAVNO DRUŠTVO S OGRANIČENOM ODGOVORNOŠĆU ZA GRADITELJSTVO, TRGOVINU I USLUGE",j.d.o.o.
10130877,"JANA gradnja društvo s ograničenom odgovornošću za graditeljstvo, transport, trgovinu, ugostiteljstvo i usluge",58869034469,,,Bjelovarsko-bilogorska županija,Ozane Kotorske 4,Bjelovar,janagradnjadoo@gmail.com,,,3,1,JANA gradnja,d.o.o.
10131291,BOSMONT jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,52668176907,,,Virovitičko-podravska županija,Dolci 22,Dolci,bozidarbosnjakboky3@gmail.com,,,0,1,BOSMONT jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,j.d.o.o.
10133094,HIDRO USLUGE jednostavno društvo s ograničenom odgovornošću za graditeljstvo,1034783652,,,Bjelovarsko-bilogorska županija,Starčevljani 97,Starčevljani,tomislavkosdekalic@gmail.com,,,3,1,HIDRO USLUGE,j.d.o.o.
10133221,RK Mont društvo s ograničenom odgovornošću za graditeljstvo i usluge,16495721825,,,Virovitičko-podravska županija,Virovitička ulica 20,Podgorje,rkmont.vt@gmail.com,,,3,1,RK Mont,d.o.o.
10133369,"SADIKU GRADNJA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",15226124857,,,Koprivničko-križevačka županija,Stjepana Radića 87,Šemovci,sadiku_bau@hotmail.de,,,3,1,"SADIKU GRADNJA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",d.o.o.
10134110,SALE USLUGE jednostavno društvo s ograničenom odgovornošću za graditeljstvo,29721056265,,,Bjelovarsko-bilogorska županija,Banovine Hrvatske 7,Bjelovar,saleusluge123@gmail.com,,,2,1,SALE USLUGE,j.d.o.o.
10134474,VPG INSTALACIJE jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,77211890862,,,Bjelovarsko-bilogorska županija,Klokočevac 190,Klokočevac,vpg.instalacije@gmail.com,,,2,1,VPG INSTALACIJE,j.d.o.o.
10134798,"RAVEL TIM društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",14722228440,,,Koprivničko-križevačka županija,Ulica Matije Gupca 23,Koprivnica,raveltim.hr@gmail.com,,,2,1,"RAVEL društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",d.o.o.
10135024,Adrias - Eko Usluge društvo s ograničenom odgovornošću za graditeljstvo,48895513946,,,Bjelovarsko-bilogorska županija,Petra Preradovića 1,Bjelovar,adrias@ri.t-com.hr,,,0,1,Adrias - Eko Usluge,d.o.o.
10135266,Graditeljstvo Sabljak društvo s ograničenom odgovornošću za graditeljstvo,70692414290,,,Bjelovarsko-bilogorska županija,Mišinačka 35,Brezovac,mario.sabljak83@gmail.com,,,4,1,Graditeljstvo Sabljak,d.o.o.
10135821,Grabau Immo d.o.o. za graditeljstvo i usluge,27814155813,,,Virovitičko-podravska županija,Riječani 52,Orahovica,danielgrabovac@hotmail.com,,,2,1,Grabau Immo,d.o.o.
10136812,"GRID PROMET društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",72954677085,,,Koprivničko-križevačka županija,Đure Basaričeka 24,Đurđevac,cinkprom@gmail.com,,,2,1,GRID PROMET,d.o.o.
10137160,TIM JOZIĆ društvo s ograničenom odgovornošću za graditeljstvo i usluge,45433409334,,,Bjelovarsko-bilogorska županija,Prgomelje 119,Prgomelje,pawlemarina1@gmail.com,,,2,1,TIM JOZIĆ,d.o.o.
10137854,"STANIĆ GLOBAL društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",8871188211,,,Bjelovarsko-bilogorska županija,Jurja Haulika 18,Bjelovar,stanic.global@gmail.com,,,2,1,STANIĆ GLOBAL,d.o.o.
10139132,POSAVEC GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,31824367591,,,Koprivničko-križevačka županija,Kutnjak 47,Kutnjak,posavecgradnjajdoo@gmail.com,,,2,1,POSAVEC GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,j.d.o.o.
10139495,DARIJO-PROJEKT jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,19398446985,,,Koprivničko-križevačka županija,Lemeš Križevački 49,Lemeš Križevački,gricdarijo@gmail.com,,,2,1,DARIJO-PROJEKT,j.d.o.o.
10140421,"GRADITELJSTVO ŠILAR društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",34160154178,,,Bjelovarsko-bilogorska županija,Veliki Bastaji 101,Veliki Bastaji,graditeljstvo.silar@gmail.com,,,1,1,GRADITELJSTVO ŠILAR,d.o.o.
10141473,ML JOZIĆ društvo s ograničenom odgovornošću za graditeljstvo i usluge,784287360,,,Bjelovarsko-bilogorska županija,Prgomelje 119,Prgomelje,mlmont.043@gmail.com,,,1,1,ML JOZIĆ,d.o.o.
10142013,"AKAK jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",8942878498,,,Bjelovarsko-bilogorska županija,Kovačevac 13,Kovačevac,goran.dobricic99@gmail.com,,,0,1,AKAK,j.d.o.o.
10142177,"DOMINIK HORVAT društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",61046432353,,,Koprivničko-križevačka županija,Šemovačka 19,Virje,horvatd823@gmail.com,,,1,1,DOMINIK HORVAT,d.o.o.
10142950,"CroMont gradnja društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",40919979750,,,Koprivničko-križevačka županija,Brezine vinogradi 3,Hudovljani,gradnja.cromont@gmail.com,,,0,1,"CroMont gradnja društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",d.o.o.
10143057,"VICINUS 20 jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",95076406174,,,Koprivničko-križevačka županija,Bilogorska 11,Rakitnica,elektrotim20@gmail.com,,,1,1,VICINUS 20,j.d.o.o.
10143104,D2 INTERIJERI jednostavno društvo s ograničenom odgovornošću za graditeljstvo,11951963914,,,Bjelovarsko-bilogorska županija,Petra Svačića 35,Sirač,d2.interijeri@gmail.com,,,1,1,D2 INTERIJERI,j.d.o.o.
10143651,BAUTEC M.A. društvo s ograničenom odgovornošću za graditeljstvo,31135988127,,,Virovitičko-podravska županija,Vukovarska 187,Čađavica,m.alilovic@gmx.de,,,1,1,BAUTEC M.A.,d.o.o.
10143750,SV GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,80656841688,,,Virovitičko-podravska županija,Manastirska 5,Duzluk,svgradnja02@gmail.com,,,1,1,SV GRADNJA,j.d.o.o.
10143897,KSC VODOMONT jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,66482803088,,,Virovitičko-podravska županija,Kralja Tomislava 5,Orahovica,cugurakarlo99@gmail.com,,,0,1,KSC VODOMONT,j.d.o.o.
10144327,"MDG jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",9181957700,,,Koprivničko-križevačka županija,Veliki Potočec 79,Veliki Potočec,visakigor@gmail.com,,,1,1,MDG,j.d.o.o.
10145080,GP MARKOVIĆ jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,1880030766,,,Bjelovarsko-bilogorska županija,Trnovitički Popovac 130,Trnovitički Popovac,gpmarkovic.bj@gmail.com,,,1,1,GP MARKOVIĆ,j.d.o.o.
10145477,"GERUNG GRIC jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",21217974267,,,Koprivničko-križevačka županija,Ulica Ivana Lepušića 58,Križevci,dragutingric@gmail.com,,,1,1,GERUNG GRIC,j.d.o.o.
10146025,Art Keramika jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,80439667407,,,Koprivničko-križevačka županija,Ivana Đuriševića 31,Đurđevac,art.keramika25@gmail.com,,,0,1,Art Keramika,j.d.o.o.
10146105,ER JANI BAU društvo s ograničenom odgovornošću za graditeljstvo i usluge,13121201809,,,Koprivničko-križevačka županija,Paromlinska 1,Virje,janipershqefa@gmail.com,,,0,1,ER JANI BAU društvo s ograničenom odgovornošću za graditeljstvo i usluge,d.o.o.
10146718,VOJVODIĆ GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,20631090503,,,Bjelovarsko-bilogorska županija,Zrinski Topolovac 175,Zrinski Topolovac,vojvodic.gradnja@gmail.com,,,0,1,VOJVODIĆ GRADNJA,j.d.o.o.
10147270,Zoki2 društvo s ograničenom odgovornošću za graditeljstvo i usluge,97249330616,,,Virovitičko-podravska županija,Ulica Vladimira Nazora 30,Suhopolje,skr.zoki@gmail.com,,,0,1,Zoki2,d.o.o.
10147323,VB GRADNJA društvo s ograničenom odgovornošću za graditeljstvo i usluge,36071420728,,,Koprivničko-križevačka županija,Vinogradska 12,Koprivnički Ivanec,bvrabelj@inet.hr,,,0,1,VB GRADNJA društvo s ograničenom odgovornošću za graditeljstvo i usluge,d.o.o.
10147518,GRADTEH društvo s ograničenom odgovornošću za graditeljstvo,40475434078,,,Koprivničko-križevačka županija,Ulica Marcela Kiepacha 59,Križevci,radicgtec@gmail.com,,,0,1,GRADTEH,d.o.o.
10147663,BIČ GRADNJA društvo s ograničenom odgovornošću za graditeljstvo i usluge,20383103612,,,Bjelovarsko-bilogorska županija,Novačića Milana 183,Čazma,budulicaivica.bic@gmail.com,,,0,1,BIČ GRADNJA,d.o.o.
10147702,MM INTERIJERI jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,62333400346,,,Bjelovarsko-bilogorska županija,Matije Gupca 222,Garešnica,pizent.valentina@gmail.com,,,0,1,MM INTERIJERI,j.d.o.o.
10148684,GP ŠTEFANAC društvo s ograničenom odgovornošću za graditeljstvo,6375764910,,,Bjelovarsko-bilogorska županija,Matice hrvatske 2,Bjelovar,milanstefanac@gmail.com,,,0,1,GP ŠTEFANAC,d.o.o.
10149234,GP Perić društvo s ograničenom odgovornošću za graditeljstvo,1335204240,,,Bjelovarsko-bilogorska županija,Klokočevac 180,Klokočevac,dragann.peric1@gmail.com,,,0,1,GP PERIĆ,d.o.o.
10149267,"Mont IN jednostavno društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",95403295726,,,Bjelovarsko-bilogorska županija,Gornji Tomaš 17,Gornji Tomaš,postavljanjemontin@gmail.com,,,0,1,MONT IN,j.d.o.o.
10149291,GEOGRADIS društvo s ograničenom odgovornošću za graditeljstvo i usluge,78025972531,,,Bjelovarsko-bilogorska županija,Petra Biškupa - Vene 25,Bjelovar,ivavrabac05@gmail.com,,,0,1,GEOGRADIS,d.o.o.
10149584,Grad-IM društvo s ograničenom odgovornošću za graditeljstvo i usluge,38329082776,,,Bjelovarsko-bilogorska županija,Marije Jurić Zagorke 14,Bjelovar,info@grad-im.hr,,,0,1,Grad-IM,d.o.o.
10150396,"Hasanec Gradnja društvo s ograničenom odgovornošću za graditeljstvo, prijevoz i usluge",20629299496,,,Koprivničko-križevačka županija,Novoselska ulica 27,Gornja Rijeka,danijelhasanec987@gmail.com,,,0,1,HASANEC GRADNJA,d.o.o.
10150546,ZOKI LIM jednostano društvo s ograničenom odgovornošću za graditeljstvo i usluge,36853041197,,,Koprivničko-križevačka županija,Ulica Frana Galovića 1,Reka,zoranzeko81@gmail.com,,,0,1,ZOKI LIM,j.d.o.o.
10150667,Elektroinstalacije VOX jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,64606913395,,,Bjelovarsko-bilogorska županija,Milaševac 78,Milaševac,jvcmiljo87@gmail.com,,,0,1,Elektroinstalacije VOX jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,j.d.o.o.
10151395,"VIKING FASADE jednostavno društvo s ograničenom odgovornošću za graditeljstvo, usluge, trgovinu i prijevoz",20312159215,,,Koprivničko-križevačka županija,Stara Ves Ravenska 48,Stara Ves Ravenska,diomet66@gmail.com,,,0,1,VIKING FASADE,j.d.o.o.
20000594,"ENA d.o.o. za graditeljstvo, elektrotehničke usluge i trgovinu",24759414355,,,Karlovačka županija,Jurja Haulika 20,Karlovac,ena@ena.hr,,,17,1,ENA,d.o.o.
20001672,"GTP društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i posredovanje",73287958014,,,Karlovačka županija,Bašćinska cesta 24,Karlovac,gtp@ka.t-com.hr,,,18,1,GTP,d.o.o.
20004177,CGP Aquaterm d.o.o. za graditeljstvo i usluge,24611744274,,,Karlovačka županija,Prilaz Vjećeslava Holjevca 2,Karlovac,info@cgp.hr,,,20,1,CGP AQUATERM,d.o.o.
20013969,"TEHNO-PROMET d.o.o. za graditeljstvo, proizvodnju, trgovinu i usluge",52494888469,,,Karlovačka županija,Tomašnica 89,Ozalj,tehno.promet1@ka.t-com.hr,,,17,1,TEHNO-PROMET,d.o.o.
20014206,"JELSA d.o.o. za graditeljstvo, trgovinu i usluge",7933147861,,,Karlovačka županija,Selce 35,Karlovac,jelsa@ka.t-com.hr,,,16,1,JELSA,d.o.o.
20026300,"INMARK d.o.o. za graditeljstvo, inženjering i marketing",65336433356,,,Karlovačka županija,Nikole Tesle 2,Karlovac,inmark-ka@inet.hr,,,17,1,INMARK,d.o.o.
20034793,"KRISTAL invest d.o.o. za graditeljstvo, prodaju, ugostiteljstvo i usluge putničke agencije",26674861937,,,Ličko-senjska županija,Primorska ulica 42,Novalja,kristal.invest1@gmail.com,,,19,1,KRISTAL INVEST,d.o.o.
20039597,"ELEKTROTEHNIKA TUŠKAN d.o.o. za graditeljstvo, trgovinu i usluge",11949601420,,,Karlovačka županija,Ladvenjak 82,Karlovac,elektrotehnikatuskan@gmail.com,,,17,1,ELEKTROTEHNIKA TUŠKAN,d.o.o.
20039724,"BBT-ODRŽAVANJE OBJEKATA d.o.o. za graditeljstvo, trgovinu i usluge",14737782693,,,Karlovačka županija,Kolodvorska cesta 45,Ozalj,servis@bbt.hr,,,19,1,BBT-ODRŽAVANJE OBJEKATA,d.o.o.
20043899,BATANA GRADNJA d.o.o. za graditeljstvo i usluge,76242957493,,,Grad Zagreb,Ulica Dragutina Domjanića 18,Zagreb,martinko.drazen@gmail.com,,,17,1,BATANA GRADNJA,d.o.o.
20044289,LUKAC društvo s ograničenom odgovornošću za graditeljstvo,13065879285,,,Ličko-senjska županija,Ulica Neznanih junaka 12,Gospić,antonijo.lukac@hotmail.com,,,17,1,LUKAC,d.o.o.
20044787,"PRIMORKA d.o.o. za graditeljstvo, trgovinu i ugostiteljstvo",55709990011,,,Koprivničko-križevačka županija,Ulica Nikole Tesle 51,Križevci,primorkakrizevci@gmail.com,,,9,1,PRIMORKA,d.o.o.
20045072,"IMPETUS d.o.o. za graditeljstvo, trgovinu i usluge",28822081369,,,Karlovačka županija,Rastoke 29,Slunj,info@impetus.hr,,,16,1,IMPETUS,d.o.o.
20046547,"MARIS GRADNJA d.o.o. za graditeljstvo, trgovinu i usluge",1435704002,,,Ličko-senjska županija,Zadarska ulica 11,Novalja,tomulic.valentina@gmail.com,,,15,1,MARIS GRADNJA,d.o.o.
20047239,GS-GRADNJA društvo s ograničenom odgovornošću za graditeljstvo,12683624880,,,Ličko-senjska županija,Zagrebačka ulica 26,Gospić,gs.gradnja@hi.t-com.hr,,,18,1,GS-GRADNJA,d.o.o.
30002321,"EURCO d.d. za graditeljstvo, inženjering i zaštitu okoliša",25484937943,,,Vukovarsko-srijemska županija,Hrvoja Vukčić - Hrvatinića 87,Vinkovci,eurco@eurco.hr,,,26,1,EURCO,d.d.
30007341,"HIDROGRADNJA društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",91653866186,,,Osječko-baranjska županija,Hrv.Republike 43,Osijek,nenad.cigic@hidrogradnja.hr,,,23,1,HIDROGRADNJA,d.o.o.
30010020,"OSIJEK-KOTEKS dioničko društvo za graditeljstvo, proizvodnju i trgovinu",44610694500,,,Osječko-baranjska županija,Šamačka 11,Osijek,info@osijek-koteks.hr,,,31,1,OSIJEK-KOTEKS,d.d.
30023259,MARKO d.o.o. za graditeljstvo i trgovinu,34416488059,,,Osječko-baranjska županija,Kaninska ulica 11,Brijest,info@marko.hr,,,17,1,MARKO,d.o.o.
30023996,"ZUBER d.o.o. Društvo za graditeljstvo, stolariju, unutarnju i vanjsku trgovinu",68580146720,,,Osječko-baranjska županija,Zagrebačka ulica 76,Višnjevac,zuber@zuber.hr,,,19,1,ZUBER D.O.O.,d.o.o.
30026169,"MAGALIA d.o.o. za graditeljstvo, prijevoz i trgovinu",95112999540,,,Vukovarsko-srijemska županija,Antuna Akšamovića 53,Vinkovci,magalia2@vk.t-com.hr,,,18,1,MAGALIA,d.o.o.
30028669,"DB PROMET d.o.o. za graditeljstvo, trgovinu i usluge",15828115836,,,Vukovarsko-srijemska županija,Kolodvorska 32,Novi Jankovci,marioskrobo1977@gmail.com,,,17,1,"DB PROMET D.O.O. ZA GRADITELJSTVO, TRGOVINU I USLUGE",d.o.o.
30031218,MONTE-MONT društvo s ograničenom odgovornošću za graditeljstvo i usluge,29249525870,,,Osječko-baranjska županija,Ulica borova 6,Osijek,info@monte-mont.hr,,,17,1,MONTE-MONT,d.o.o.
30034224,"ŠKRILJA d.o.o. za graditeljstvo, trgovinu i usluge",80388528921,,,Osječko-baranjska županija,Andrije Hebranga 96,Đakovo,skrilja@gmail.com,,,17,1,ŠKRILJA,d.o.o.
30035598,"WATMONT d.o.o. za graditeljstvo, trgovinu i usluge",83116801882,,,Vukovarsko-srijemska županija,Zalužje 21,Vinkovci,watmont@watmont.hr,,,17,1,WATMONT,d.o.o.
30036302,"ZUKI d.o.o. za graditeljstvo, trgovinu i usluge",56980191877,,,Vukovarsko-srijemska županija,Zalužje 9,Vinkovci,zuki@vk.t-com.hr,,,22,1,ZUKI,d.o.o.
30036589,"PREMUŽ d.o.o. za graditeljstvo, trgovinu i usluge",20782394381,,,Vukovarsko-srijemska županija,Ulica breza 3,Vinkovci,info@premuz.hr,,,17,1,PREMUŽ,d.o.o.
